 여자 화장실서 일면식도 없는 남성 ' 묻지 마 폭행 '
[# 0] ﻿	= ﻿/SP(SP)
[# 1] 여자	= 여자/NNG(NNG)
[# 2] 화장실서	= 화장/NNG(NNG)실/NNG(NNG)서/JKB(JKB)
[# 3] 일면식도	= 일/NNG(NNG)면식/NNG(NNG)도/JX(JX)
[# 4] 없는	= 없/VA(VA)는/ETM(ETM)
[# 5] 남성	= 남성/NNG(NNG)
[# 6] '	= '/SW(SY)
[# 7] 묻지	= 묻/VV(VV)지/EC(EC)
[# 8] 마	= 말/VX(VX)아/EC(EC)
[# 9] 폭행	= 폭행/NNG(NNG)
[#10] '	= '/SW(SY)
뛰쳐나간 여성 따라가 지속해서 폭행
[# 0] 뛰쳐나간	= 뛰쳐나가/VV(VV)ᆫ/ETM(ETM)
[# 1] 여성	= 여성/NNG(NNG)
[# 2] 따라가	= 따라가/VV(VV)아/EC(EC)
[# 3] 지속해서	= 지속/NNG(NNG)하/XSV(XSV)아서/EC(EC)
[# 4] 폭행	= 폭행/NNG(NNG)
피해자 뇌진탕 증세 호소 , 트라우마로 화장실 못 가
[# 0] 피해자	= 피해/NNG(NNG)자/NNG(NNG)
[# 1] 뇌진탕	= 뇌/NNG(NNG)진탕/NNG(NNG)
[# 2] 증세	= 증세/NNG(NNG)
[# 3] 호소	= 호소/NNG(NNG)
[# 4] ,	= ,/SP(SC)
[# 5] 트라우마로	= 트라우마/NNP(NNP)로/JKB(JKB)
[# 6] 화장실	= 화장/NNG(NNG)실/NNG(NNG)
[# 7] 못	= 못/MAG(MAG)
[# 8] 가	= 가/VV(VV)아/EC(EC)
자료 사진 . 사진은 기사 중 특정 표현과 관계 없음 .
[# 0] 자료	= 자료/NNG(NNG)
[# 1] 사진	= 사진/NNG(NNG)
[# 2] .	= ./SW(SY)
[# 3] 사진은	= 사진/NNG(NNG)은/JX(JX)
[# 4] 기사	= 기사/NNG(NNG)
[# 5] 중	= 중/NNB(NNB)
[# 6] 특정	= 특정/NNG(NNG)
[# 7] 표현과	= 표현/NNG(NNG)과/JC(JC)
[# 8] 관계	= 관계/NNG(NNG)
[# 9] 없음	= 없/VA(VA)음/ETN(ETN)
[#10] .	= ./SF(SF)
[ 이미지 출처 = 연합뉴스 ]
[# 0] [	= [/SS(SSO)
[# 1] 이미지	= 이미지/NNG(NNG)
[# 2] 출처	= 출처/NNG(NNG)
[# 3] =	= =/SW(SY)
[# 4] 연합뉴스	= 연합/NNG(NNG)뉴스/NNG(NNG)
[# 5] ]	= ]/SS(SSC)
